0,pfc1,0,30,RANK_PFC,RANK_PFC_FULL,rank_pfc1,30,;,;,;,;,;,1,1,;,RANK_PFC_FULL
1,pfc2,30,90,RANK_PFC,RANK_PFC_FULL2,rank_pfc2,120,;,;,;,;,;,2,2,feature_demolitions,RANK_PFC_FULL_N
2,pfc3,120,150,RANK_PFC,RANK_PFC_FULL3,rank_pfc3,270,;,;,;,;,;,3,3,feature_sniper,RANK_PFC_FULL_N
3,lcpl1,270,210,RANK_LCPL,RANK_LCPL_FULL,rank_lcpl1,480,;,;,;,;,;,4,4,feature_cac,RANK_LCPL_FULL
4,lcpl2,480,270,RANK_LCPL,RANK_LCPL_FULL2,rank_lcpl2,750,;,;,tier_1_a;tier_2_a;tier_3_a;tier_4_a;tier_5_a,;,;,5,5,feature_challenges,RANK_LCPL_FULL_N
5,lcpl3,750,330,RANK_LCPL,RANK_LCPL_FULL3,rank_lcpl3,1080,;,;,;,;,;,6,6,;,RANK_LCPL_FULL_N
6,cpl1,1080,390,RANK_CPL,RANK_CPL_FULL,rank_cpl1,1470,m21,;,ch_marksman_m21;ch_expert_m21_1,m21 camo_brockhaurd;m21 camo_bushdweller,;,7,7,;,RANK_CPL_FULL
7,cpl2,1470,450,RANK_CPL,RANK_CPL_FULL2,rank_cpl2,1920,;,specialty_pistoldeath,;,;,;,8,8,;,RANK_CPL_FULL_N
8,cpl3,1920,510,RANK_CPL,RANK_CPL_FULL3,rank_cpl3,2430,;,;,tier_6_a,;,;,9,9,;,RANK_CPL_FULL_N
9,sgt1,2430,570,RANK_SGT,RANK_SGT_FULL,rank_sgt1,3000,m4,;,ch_marksman_m4_1;ch_expert_m4_1,m4 camo_brockhaurd;m4 camo_bushdweller,m4 gl,10,10,;,RANK_SGT_FULL
10,sgt2,3000,650,RANK_SGT,RANK_SGT_FULL2,rank_sgt2,3650,;,specialty_gpsjammer,;,;,;,11,11,;,RANK_SGT_FULL_N
11,sgt3,3650,730,RANK_SGT,RANK_SGT_FULL3,rank_sgt3,4380,;,;,tier_6_b,;,;,12,12,;,RANK_SGT_FULL_N
12,ssgt1,4380,810,RANK_SSGT,RANK_SSGT_FULL,rank_ssgt1,5190,uzi,;,ch_marksman_uzi_1;ch_expert_uzi_1,uzi camo_brockhaurd;uzi camo_bushdweller,;,13,13,;,RANK_SSGT_FULL
13,ssgt2,5190,890,RANK_SSGT,RANK_SSGT_FULL2,rank_ssgt2,6080,;,specialty_detectexplosive,;,;,;,14,14,;,RANK_SSGT_FULL_N
14,ssgt3,6080,970,RANK_SSGT,RANK_SSGT_FULL3,rank_ssgt3,7050,;,;,tier_6_c,;,;,15,15,;,RANK_SSGT_FULL_N
15,gysgt1,7050,1050,RANK_GYSGT,RANK_GYSGT_FULL,rank_gysgt1,8100,colt45,;,;,;,colt45 silencer,16,16,;,RANK_GYSGT_FULL
16,gysgt2,8100,1130,RANK_GYSGT,RANK_GYSGT_FULL2,rank_gysgt2,9230,;,specialty_grenadepulldeath,;,;,;,17,17,;,RANK_GYSGT_FULL_N
17,gysgt3,9230,1210,RANK_GYSGT,RANK_GYSGT_FULL3,rank_gysgt3,10440,;,;,tier_6_d,;,;,18,18,;,RANK_GYSGT_FULL_N
18,msgt1,10440,1290,RANK_MSGT,RANK_MSGT_FULL,rank_msgt1,11730,m60e4,;,ch_marksman_m60e4_1;ch_expert_m60e4_1,m60e4 camo_brockhaurd;m60e4 camo_bushdweller,;,19,19,;,RANK_MSGT_FULL
19,msgt2,11730,1370,RANK_MSGT,RANK_MSGT_FULL2,rank_msgt2,13100,;,specialty_fastreload,;,;,;,20,20,;,RANK_MSGT_FULL_N
20,msgt3,13100,1450,RANK_MSGT,RANK_MSGT_FULL3,rank_msgt3,14550,;,;,tier_7_a,;,;,21,21,;,RANK_MSGT_FULL_N
21,mgysgt1,14550,1530,RANK_MGYSGT,RANK_MGYSGT_FULL,rank_mgysgt1,16080,dragunov,;,ch_marksman_dragunov;ch_expert_dragunov_1,dragunov camo_brockhaurd;dragunov camo_bushdweller,;,22,22,;,RANK_MGYSGT_FULL
22,mgysgt2,16080,1610,RANK_MGYSGT,RANK_MGYSGT_FULL2,rank_mgysgt2,17690,;,claymore_mp,;,;,;,23,23,;,RANK_MGYSGT_FULL_N23,mgysgt3,17690,1690,RANK_MGYSGT,RANK_MGYSGT_FULL3,rank_mgysgt3,19380,;,;,tier_7_b,;,;,24,24,;,RANK_MGYSGT_FULL_N
23,mgysgt3,17690,1690,RANK_MGYSGT,RANK_MGYSGT_FULL3,rank_mgysgt3,19380,;,;,tier_7_b,;,;,24,24,;,RANK_MGYSGT_FULL_N
24,2ndlt1,19380,1770,RANK_2NDLT,RANK_2NDLT_FULL,rank_2ndlt1,21150,g3,;,ch_marksman_g3_1;ch_expert_g3_1,g3 camo_brockhaurd;g3 camo_bushdweller,g3 gl,25,25,;,RANK_2NDLT_FULL
25,2ndlt2,21150,1850,RANK_2NDLT,RANK_2NDLT_FULL2,rank_2ndlt2,23000,;,specialty_holdbreath,;,;,;,26,26,;,RANK_2NDLT_FULL_N
26,2ndlt3,23000,1930,RANK_2NDLT,RANK_2NDLT_FULL3,rank_2ndlt3,24930,;,;,tier_7_c,;,;,27,27,;,RANK_2NDLT_FULL_N
27,1stlt1,24930,2010,RANK_1STLT,RANK_1STLT_FULL,rank_1stlt1,26940,ak74u,;,ch_marksman_ak74u_1;ch_expert_ak74u_1,ak74u camo_brockhaurd;ak74u camo_bushdweller,;,28,28,;,RANK_1STLT_FULL
28,1stlt2,26940,2090,RANK_1STLT,RANK_1STLT_FULL2,rank_1stlt2,29030,;,specialty_rof,;,;,;,29,29,;,RANK_1STLT_FULL_N
